,nPaths,EUprice,AMprice,EUprice_std,AMprice_std,bp,endStep
0,100000.0,646.5345684459026,646.5345684459026,16047.473612178095,16047.473612178095,-1000.0,1.0
0,100000.0,640.5920639596588,657.1348473259131,15989.778002889005,16071.845828200328,-1000.0,2.0
0,100000.0,643.8454179183755,660.6903972614818,15950.495271966223,16074.532962521704,-1000.0,3.0
0,100000.0,642.7419296612643,663.7643984646929,15926.039640977217,16076.996830269702,-1000.0,4.0
0,100000.0,635.9350232579018,668.5393570124652,15872.138832937868,16081.006771573688,-1000.0,5.0
0,100000.0,631.7597000242531,671.0895001288736,15804.057637606757,16083.23564441168,-1000.0,6.0
0,100000.0,635.4299150547668,674.1214309365023,15831.19887919508,16085.960199756308,-1000.0,7.0
0,100000.0,647.6283983801186,683.5920658155956,15879.326502656775,16094.898003582268,-1000.0,8.0
0,100000.0,633.7025391523639,685.13937062279,15968.234731684082,16096.413881919429,-1000.0,9.0
0,100000.0,638.0230030084858,703.373098320204,15682.777536703385,16115.261493060134,-1000.0,10.0
0,100000.0,629.7078267379329,713.0634723515468,15478.079306469232,16125.848096361944,-1000.0,11.0
0,100000.0,622.547696323847,718.1369354202398,15425.241623176027,16131.500262444002,-1000.0,12.0
0,100000.0,621.8561075636826,719.3656288012498,15436.618198983786,16132.879164563936,-1000.0,13.0
0,100000.0,616.6402472617265,727.7444595049819,15449.653976856767,16142.37846167264,-1000.0,14.0
0,100000.0,615.6280593346819,731.568052865201,15404.368110750984,16146.771604053827,-1000.0,15.0
0,100000.0,616.234414652361,737.062982594849,15436.813502526682,16153.14264703096,-1000.0,16.0
0,100000.0,620.953672918622,738.72725991279,15417.50372767116,16155.083524154026,-1000.0,17.0
0,100000.0,643.0828752760062,749.9182690652378,15550.00355787848,16168.280452535386,-1000.0,18.0
0,100000.0,641.2333608096087,751.9923706911068,15640.224643785908,16170.75227455973,-1000.0,19.0
0,100000.0,642.9479569236719,756.424147916041,15973.307308571508,16176.055406953346,-1000.0,20.0
0,100000.0,646.516332224579,757.0362320372078,15983.506095811455,16176.79004772289,-1000.0,21.0
0,100000.0,642.6130056611364,757.2662767120564,15979.786894240482,16177.066274336838,-1000.0,22.0
0,100000.0,673.0163484058503,760.9337363426603,16950.11016891592,16181.481016731595,-1000.0,23.0
0,100000.0,667.6237363369801,763.1907981097611,16881.68268144475,16184.206163107876,-1000.0,24.0
0,100000.0,667.0522600730983,763.2091790341728,16867.73539738141,16184.228383524409,-1000.0,25.0
0,100000.0,667.5835190017169,764.6827005255545,16866.160148036543,16186.01232203935,-1000.0,26.0
0,100000.0,667.8889465546599,765.5345269289028,16859.5381249652,16187.044981192936,-1000.0,27.0
0,100000.0,669.8973067366678,766.334416930149,16873.510609089644,16188.015455391142,-1000.0,28.0
0,100000.0,670.4748215434811,769.19742586762,16811.254383254774,16191.495252522982,-1000.0,29.0
0,100000.0,661.1056157518469,783.8321880694784,16430.31866284721,16209.397174132646,-1000.0,30.0
0,100000.0,657.9729705277423,784.9869671087072,16415.425807027525,16210.81956956999,-1000.0,31.0
0,100000.0,653.1104807987213,786.596175114646,16306.583989288984,16212.804706201518,-1000.0,32.0
0,100000.0,647.8849873795261,788.6744070958157,16172.000315634656,16215.37224759628,-1000.0,33.0
0,100000.0,647.5044857697139,789.3536562488516,16102.39200896406,16216.212528957753,-1000.0,34.0
